,ds,y_orig,yhat,yhat_lower,yhat_upper
0,2017-12-31,278.2255859,277.33684185031973,250.86658779221955,306.23355990738565
1,2018-01-01,217.0,218.41906483946428,198.51823918858807,240.55681962930245
2,2018-01-02,223.0,202.37707293933394,183.81014636439664,224.3497281327781
3,2018-01-03,156.0,187.51332361893168,169.80806750170092,207.50172946095557
4,2018-01-04,189.0,173.74125450049553,156.45360123464607,192.32944987016683
5,2018-01-05,323.0,319.06011133091613,289.4609450222719,355.74500685307913
6,2018-01-06,223.0,225.0621297227984,202.19562215105518,249.70103854431474
7,2018-01-07,188.0,187.42405285637122,167.55352528777755,207.1915510040327
8,2018-01-08,,156.0803482681583,125.1036108935953,196.47449546315914
9,2018-01-09,,129.97838187918293,57.096181062953136,288.75511324978004
