call Date,Process Date,settlement  Date ,Their PMN (TADIG) Code,Call Type,Number of Calls,Charged Duration (Minutes),Total Charged Volume (MB),Charges w/o Taxes (Local Currency)
1/1/2018,12/31/2017,12/31/2017,NZLNH,GPRS,2391,0,278.2255859,5.37859
1/1/2018,12/31/2017,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,12/31/2017,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,12/31/2017,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,12/31/2017,12/31/2017,RUSNW,GPRS,83,0,1.072265625,0.01098
1/1/2018,12/31/2017,12/31/2017,RUSNW,MOC,2,15,0,0.75
1/1/2018,12/31/2017,12/31/2017,RUSNW,SMS-MO,3,0,0,0.015
1/1/2018,12/31/2017,1/31/2018,BLRO2,GPRS,4,0,0.018554688,0.00307
1/1/2018,12/31/2017,1/31/2018,BLRO2,SMS-MT,1,0,0,0
1/1/2018,12/31/2017,1/31/2018,CHEOA,GPRS,4,0,0.40625,1.47518
1/1/2018,12/31/2017,1/31/2018,CHEOA,SMS-MO,27,0,0,6.0777
1/1/2018,12/31/2017,1/31/2018,CHNCT,GPRS,84540,0,68650.77148,491.7393
1/1/2018,12/31/2017,1/31/2018,CHNCT,MOC,192,876,0,25.80142
1/1/2018,12/31/2017,1/31/2018,CHNCT,MTC,85,448,0,12.46643
1/1/2018,12/31/2017,1/31/2018,CHNCT,SMS-MO,818,0,0,3.36198
1/1/2018,12/31/2017,1/31/2018,CHNCT,SMS-MT,3894,0,0,0
1/1/2018,12/31/2017,1/31/2018,DNKTD,GPRS,13,0,1146.575195,4.21172
1/1/2018,12/31/2017,1/31/2018,DNKTD,MOC,69,210,0,2.59794
1/1/2018,12/31/2017,1/31/2018,DNKTD,MTC,24,67,0,0
1/1/2018,12/31/2017,1/31/2018,DNKTD,SMS-MO,156,0,0,0.663
1/1/2018,12/31/2017,1/31/2018,FINTF,MOC,1,1,0,0
1/1/2018,12/31/2017,1/31/2018,FINTF,SMS-MO,5,0,0,0
1/1/2018,12/31/2017,1/31/2018,IND04,SMS-MO,16,0,0,0.62208
1/1/2018,12/31/2017,1/31/2018,IND09,SMS-MO,1,0,0,0.03888
1/1/2018,12/31/2017,1/31/2018,IND19,SMS-MO,2,0,0,0.07776
1/1/2018,12/31/2017,1/31/2018,IND21,MOC,1,1,0,0.03888
1/1/2018,12/31/2017,1/31/2018,IND21,SMS-MO,2,0,0,0.07776
1/1/2018,12/31/2017,1/31/2018,IND22,MOC,1,1,0,0.03888
1/1/2018,12/31/2017,1/31/2018,IND22,MTC,1,1,0,0.03888
1/1/2018,12/31/2017,1/31/2018,IND22,SMS-MO,2,0,0,0.07776
1/1/2018,12/31/2017,1/31/2018,IND23,MOC,2,9,0,0.34993
1/1/2018,12/31/2017,1/31/2018,IND23,MTC,1,1,0,0.03888
1/1/2018,12/31/2017,1/31/2018,IND23,SMS-MO,4,0,0,0.15552
1/1/2018,12/31/2017,1/31/2018,KAZ77,GPRS,4,0,0.005859375,0
1/1/2018,12/31/2017,1/31/2018,KAZKZ,GPRS,4,0,0.005859375,0
1/1/2018,12/31/2017,1/31/2018,KAZKZ,MOC,2,2.63333333,0,0.26332
1/1/2018,12/31/2017,1/31/2018,KAZKZ,MTC,1,0.06666667,0,0
1/1/2018,12/31/2017,1/31/2018,KAZKZ,SMS-MO,5,0,0,0.0991
1/1/2018,12/31/2017,1/31/2018,KAZKZ,SMS-MT,15,0,0,0
1/1/2018,12/31/2017,1/31/2018,MMRTN,GPRS,277,0,1184.427734,177.68123
1/1/2018,12/31/2017,1/31/2018,MMRTN,MOC,9,10.4333333,0,1.56492
1/1/2018,12/31/2017,1/31/2018,MMRTN,MTC,2,9.71666667,0,1.45748
1/1/2018,12/31/2017,1/31/2018,MMRTN,SMS-MO,44,0,0,2.19956
1/1/2018,12/31/2017,1/31/2018,MMRTN,SMS-MT,96,0,0,0
1/1/2018,12/31/2017,1/31/2018,MYSBC,GPRS,865,0,125.5927734,0.64562
1/1/2018,12/31/2017,1/31/2018,MYSBC,MOC,14,49,0,1.55307
1/1/2018,12/31/2017,1/31/2018,MYSBC,MTC,1,2,0,0.06371
1/1/2018,12/31/2017,1/31/2018,MYSBC,SMS-MO,56,0,0,0.55496
1/1/2018,12/31/2017,1/31/2018,MYSBC,SMS-MT,439,0,0,0
1/1/2018,12/31/2017,1/31/2018,NAM03,GPRS,31,0,0.047851563,0.00244
1/1/2018,12/31/2017,1/31/2018,NAM03,MOC,2,10,0,0.5
1/1/2018,12/31/2017,1/31/2018,NAM03,SMS-MO,9,0,0,0.09
1/1/2018,12/31/2017,1/31/2018,NAM03,SMS-MT,5,0,0,0
1/1/2018,12/31/2017,1/31/2018,NZLBS,GPRS,1883,0,981.3183594,3.09241
1/1/2018,12/31/2017,1/31/2018,NZLBS,MOC,69,121.2833333,0,2.22692
1/1/2018,12/31/2017,1/31/2018,NZLBS,MTC,15,21,0,0
1/1/2018,12/31/2017,1/31/2018,NZLBS,SMS-MO,316,0,0,0.75208
1/1/2018,12/31/2017,1/31/2018,OMNGT,GPRS,1648,0,162.4121094,29.3648
1/1/2018,12/31/2017,1/31/2018,PAKTP,GPRS,1617,0,2057.518555,9.7672
1/1/2018,12/31/2017,1/31/2018,PAKTP,MOC,89,347.8666667,0,13.21365
1/1/2018,12/31/2017,1/31/2018,PAKTP,MTC,33,93.16666667,0,0
1/1/2018,12/31/2017,1/31/2018,PAKTP,SMS-MO,436,0,0,2.06664
1/1/2018,12/31/2017,1/31/2018,PLWPC,SMS-MO,26,0,0,5.2
1/1/2018,12/31/2017,1/31/2018,PLWPC,SMS-MT,47,0,0,0
1/1/2018,12/31/2017,1/31/2018,THACA,GPRS,2,0,0.005859375,0
1/1/2018,12/31/2017,1/31/2018,THACT,GPRS,23,0,2.388671875,0.02125
1/1/2018,12/31/2017,1/31/2018,THACT,MOC,12,27,0,1.0476
1/1/2018,12/31/2017,1/31/2018,THACT,MTC,1,1,0,0.01133
1/1/2018,12/31/2017,1/31/2018,THACT,SMS-MO,48,0,0,0.54384
1/1/2018,12/31/2017,1/31/2018,USAGU,GPRS,1433,0,1631.3125,8.15601
1/1/2018,12/31/2017,1/31/2018,USAGU,MOC,27,64,0,2.50997
1/1/2018,12/31/2017,1/31/2018,USAGU,MTC,12,100,0,2
1/1/2018,12/31/2017,1/31/2018,USAGU,SMS-MO,143,0,0,1.42857
1/1/2018,1/1/2018,12/31/2017,AFGAW,GPRS,3454,0,333.6748047,50.05036
1/1/2018,1/1/2018,12/31/2017,AFGAW,MOC,2,8,0,1.60001
1/1/2018,1/1/2018,12/31/2017,AFGAW,SMS-MO,270,0,0,13.5
1/1/2018,1/1/2018,12/31/2017,AFGAW,SMS-MT,353,0,0,0
1/1/2018,1/1/2018,12/31/2017,AFGTD,GPRS,2238,0,136.9169922,30.1201
1/1/2018,1/1/2018,12/31/2017,AFGTD,MOC,2,18,0,5.03999
1/1/2018,1/1/2018,12/31/2017,AFGTD,MTC,2,2,0,0.56
1/1/2018,1/1/2018,12/31/2017,AFGTD,SMS-MO,104,0,0,7.27896
1/1/2018,1/1/2018,12/31/2017,CANBM,MOC,12,21,0,0.168
1/1/2018,1/1/2018,12/31/2017,CANBM,MTC,29,50,0,0.368
1/1/2018,1/1/2018,12/31/2017,CANBM,SMS-MO,410,0,0,0.30784
1/1/2018,1/1/2018,12/31/2017,CANBM,SMS-MT,1341,0,0,5.574856
1/1/2018,1/1/2018,12/31/2017,FINAM,SMS-MT,1,0,0,0
1/1/2018,1/1/2018,12/31/2017,FINRL,GPRS,208,0,17.57226563,0.04723
1/1/2018,1/1/2018,12/31/2017,FINRL,SMS-MO,15,0,0,0.04095
1/1/2018,1/1/2018,12/31/2017,FINRL,SMS-MT,35,0,0,0
1/1/2018,1/1/2018,12/31/2017,FJIVF,GPRS,3428,0,2831.984375,57.16635
1/1/2018,1/1/2018,12/31/2017,FJIVF,MOC,72,198,0,18.25085
1/1/2018,1/1/2018,12/31/2017,FJIVF,MTC,21,55,0,4.60955
1/1/2018,1/1/2018,12/31/2017,FJIVF,SMS-MO,234,0,0,9.57294
1/1/2018,1/1/2018,12/31/2017,FJIVF,SMS-MT,951,0,0,0
1/1/2018,1/1/2018,12/31/2017,FSMFM,MOC,6,14,0,21.00001
1/1/2018,1/1/2018,12/31/2017,FSMFM,MTC,11,25,0,37.49999
1/1/2018,1/1/2018,12/31/2017,FSMFM,SMS-MO,60,0,0,24
1/1/2018,1/1/2018,12/31/2017,FSMFM,SMS-MT,132,0,0,0
1/1/2018,1/1/2018,12/31/2017,NZLNH,GPRS,2391,0,217,5.37859
1/1/2018,1/1/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/1/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/1/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/2/2018,12/31/2017,NZLNH,GPRS,2391,0,223,5.37859
1/1/2018,1/2/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/2/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/2/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/3/2018,12/31/2017,NZLNH,GPRS,2391,0,156,5.37859
1/1/2018,1/3/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/3/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/3/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/4/2018,12/31/2017,NZLNH,GPRS,2391,0,189,5.37859
1/1/2018,1/4/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/4/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
